method,axis,level,metric,mean,std,n,unit,availability
proposed,grid_cap_multiplier,1.15,centralized_reference_difference,,0.0,0,scaled_reward,missing
proposed,grid_cap_multiplier,1.15,centralized_reference_gap,,0.0,0,scaled_reward_deprecated_non_oracle_alias,missing
proposed,grid_cap_multiplier,1.15,exact_oracle_gap,,0.0,0,scaled_reward,missing
proposed,inverse_cost_sensitivity,0.22,return,16.17382891813411,0.0,1,scaled_reward,available
proposed,inverse_cost_sensitivity,0.22,profit_gbp,1835.1637209380622,0.0,1,GBP,available
proposed,inverse_cost_sensitivity,0.22,welfare_gbp,1835.1637209380622,0.0,1,GBP_weighted_hub_profit,available
proposed,inverse_cost_sensitivity,0.22,weighted_hub_profit_welfare,1835.1637209380622,0.0,1,GBP_weighted_hub_profit,available
proposed,inverse_cost_sensitivity,0.22,profit,1835.1637209380622,0.0,1,GBP,available
proposed,inverse_cost_sensitivity,0.22,served_requests,334.5905486189855,0.0,1,requests,available
proposed,inverse_cost_sensitivity,0.22,outside_requests,48.23945138101456,0.0,1,requests,available
