method,metric,mean,std,mean_plus_minus_std,n,unit,availability,missing_reason
ippo,mean_access_min,11.025587302072443,0.0,11.0256 ± 0,3,min,available,
ippo,p95_access_min,11.683342070005729,0.0,11.6833 ± 0,3,min,available,
ippo,mean_detour_min,2.459387778695515,0.0,2.45939 ± 0,3,min,available,
ippo,p95_detour_min,3.1556075545481246,0.0,3.15561 ± 0,3,min,available,
ippo,outside_mae,3.0,0.0,3 ± 0,3,GBP,available,
ippo,outside_nll,0.6682854283596212,0.0,0.668285 ± 0,3,nll,available,
ippo,approx_unilateral_gain,,,NaN,0,scaled_local_reward,missing,no_finite_values
ippo,centralized_reference_difference,-4.5421242866703295,0.0,-4.54212 ± 0,3,scaled_reward,available,
ippo,exact_oracle_gap,,,NaN,0,scaled_reward,missing,no_finite_values
centralized_coordinate_search_reference,return,9.193946356539625,0.0,9.19395 ± 0,3,scaled_reward,available,
centralized_coordinate_search_reference,profit_gbp,1417.0163171444956,0.0,1417.02 ± 0,3,GBP,available,
centralized_coordinate_search_reference,weighted_hub_profit_welfare,1417.0163171444958,0.0,1417.02 ± 0,3,GBP_weighted_hub_profit,available,
centralized_coordinate_search_reference,served_requests,357.91257180284305,0.0,357.913 ± 0,3,requests,available,
centralized_coordinate_search_reference,outside_share,0.065087449252036,0.0,0.0650874 ± 0,3,fraction,available,
centralized_coordinate_search_reference,pending_requests,423.5925151527206,0.0,423.593 ± 0,3,requests,available,
centralized_coordinate_search_reference,admitted_requests,357.91257180284305,0.0,357.913 ± 0,3,requests,available,
centralized_coordinate_search_reference,admission_ratio,0.8449454581930054,0.0,0.844945 ± 0,3,fraction,available,
centralized_coordinate_search_reference,minimum_admission_ratio,0.4411898665899669,0.0,0.44119 ± 0,3,fraction,available,
centralized_coordinate_search_reference,peak_admission_pressure,2.266597843076437,0.0,2.2666 ± 0,3,pending_over_capacity,available,
centralized_coordinate_search_reference,admitted_full_service_ratio,1.0,0.0,1 ± 0,3,fraction,available,
centralized_coordinate_search_reference,pending_full_service_ratio,0.8449454581930054,0.0,0.844945 ± 0,3,fraction,available,
centralized_coordinate_search_reference,mean_wait_min,16.60866734098083,0.0,16.6087 ± 0,3,min,available,
centralized_coordinate_search_reference,p95_wait_min,45.51395771563633,0.0,45.514 ± 0,3,min,available,
centralized_coordinate_search_reference,max_wait_min,75.99587058458623,0.0,75.9959 ± 0,3,min,available,
centralized_coordinate_search_reference,wait_violation_rate,0.1875,0.0,0.1875 ± 0,3,fraction,available,
centralized_coordinate_search_reference,mean_wait_excess_min,10.69621566696008,2.175583928816829e-15,10.6962 ± 2.17558e-15,3,min,available,
centralized_coordinate_search_reference,pending_energy_kwh,10589.812878818017,0.0,10589.8 ± 0,3,kWh,available,
centralized_coordinate_search_reference,admitted_energy_kwh,8947.814295071075,0.0,8947.81 ± 0,3,kWh,available,
centralized_coordinate_search_reference,unmet_energy_kwh,0.0,0.0,0 ± 0,3,kWh,available,
centralized_coordinate_search_reference,peak_queued_energy_kwh,649.4582857916657,0.0,649.458 ± 0,3,kWh,available,
centralized_coordinate_search_reference,mean_queued_energy_kwh,273.66643062448964,0.0,273.666 ± 0,3,kWh,available,
centralized_coordinate_search_reference,final_queued_energy_kwh,0.0,0.0,0 ± 0,3,kWh,available,
centralized_coordinate_search_reference,queue_cleared_by_end,1.0,0.0,1 ± 0,3,boolean,available,
centralized_coordinate_search_reference,queue_clearance_period,4.0,0.0,4 ± 0,3,period_index,available,
centralized_coordinate_search_reference,max_queue_vehicle_conservation_error,1.1102230246251562e-16,1.5096146061105633e-32,1.11022e-16 ± 1.50961e-32,3,hours,available,
centralized_coordinate_search_reference,max_queue_energy_conservation_error_kwh,0.0,0.0,0 ± 0,3,kWh,available,
centralized_coordinate_search_reference,grid_energy_kwh,8190.596270900566,0.0,8190.6 ± 0,3,kWh,available,
centralized_coordinate_search_reference,peak_grid_import_kwh,2171.672908269664,0.0,2171.67 ± 0,3,kWh_per_period,available,
centralized_coordinate_search_reference,pv_utilization,1.0,0.0,1 ± 0,3,fraction,available,
centralized_coordinate_search_reference,battery_throughput_kwh,1579.6390768020883,0.0,1579.64 ± 0,3,kWh,available,
centralized_coordinate_search_reference,energy_cost_gbp,2072.631257933224,0.0,2072.63 ± 0,3,GBP,available,
centralized_coordinate_search_reference,mean_access_min,11.32015406681841,0.0,11.3202 ± 0,3,min,available,
centralized_coordinate_search_reference,p95_access_min,11.70994675300814,0.0,11.7099 ± 0,3,min,available,
centralized_coordinate_search_reference,mean_detour_min,2.7431371973537626,0.0,2.74314 ± 0,3,min,available,
centralized_coordinate_search_reference,p95_detour_min,3.184252657340391,0.0,3.18425 ± 0,3,min,available,
centralized_coordinate_search_reference,outside_mae,0.0,0.0,0 ± 0,3,GBP,available,
centralized_coordinate_search_reference,outside_nll,0.2349472800400663,0.0,0.234947 ± 0,3,nll,available,
centralized_coordinate_search_reference,approx_unilateral_gain,,,NaN,0,scaled_local_reward,missing,no_finite_values
centralized_coordinate_search_reference,centralized_reference_difference,0.0,0.0,0 ± 0,3,scaled_reward,available,
centralized_coordinate_search_reference,exact_oracle_gap,,,NaN,0,scaled_reward,missing,no_finite_values
